title,label
한종현 대표이사 사장 취임,0
신임 대표에 한종현 사장 선임,0
라이센스 뷰티 헬스 PICK 메디힐 동아제약 파티온 外,0
잇치 가글액 새롭게 선보여,0
한종현 대표 신규 선임 유준하 대표와 각자 대표,0
다양한 피부고민 후시드 크림으로 한번에,0
잇치 가글액 출시,1
잇치 가글액으로 선보여,0
한종현 대표 신규 선임 내달 1일 취임,0
잇몸질환 예방까지 잇치 가글액 출시,1
엘브이엠씨 계열사 주식 97억원에 추가취득,1
ENVEX 2019 영상 오는 10월 양산 예정인 국내 최초 Bobber 스,1
더벨 매각 타진 KR모터스 오세영 회장 의중 안갯속,-1
실적속보 잠정 KR모터스 연결 2020 1Q 영업이익 3 86억원,1
실적속보 KR모터스 연결 2019 2Q 영업이익 21 92억원,1
KR모터스 신규 이사 후보 업계 전문가 영입 경영개선 신호탄,1
KR모터스 업계 전문가 영입 경영개선 신호탄,1
KR모터스 오세영 회장 신규이사선임 책임경영 강화,1
형보다 더 했던 삼양그룹 창업주의 과거를 아십니까 김종성의 히 스토,0
경륜 이태운 전경호 김다빈 광주권 생명수,0
북광주팀 26기 삼총사 광주권 생명수,0
전남 광주권 세대교체 이끄는 이 전 김,0
TF경륜 북광주팀 26기 삼총사 이태운 전경호 김다빈 광주권 생명수,0
젊음의 행진 경륜 세대교체 이끄는 북광주팀,1
타임스퀘어 화이트데이 선물 프로모션 진행,0
타임스퀘어 화이트데이 프로모션 진행,0
타임스퀘어 봄맞이 패션잡화 제안전 진행 최대 70% 할인,0
3월 다섯째 주 등 1546개사 정기 주총 개최,0
신입 인턴 채용정보 이랜드월드 인천항만공사 등,0
9100억원의 연결영업이익 발표 전년대비 49 3% ↑,1
국내 최초 보험사 100년 기업 메리츠화재 빅테크와 협력 통할지 관심사,1
남동구 2022년 걱정해결사업 추진 업무협약,1
메리츠화재 1000억 규모 자사주 취득 신탁계약 체결,1
메리츠화재 지난해 영업익 9076억 전년비 49 3% ↑,1
메리츠화재 주당 620원 현금배당 결정,1
더벨 보험경영분석 메리츠화재 금리 오르자 대출영업 짭짤하네,0
메리츠화재 3분기 영업익 2421억 전년비 57 7% ↑,1
강릉시 주식회사와 2022년 걱정해결사업 추진,1
이영준 바이오팜 그룹장 대표이사로 선임,0
엄태웅 이영준 각자 대표 체제,0
경영승계 막전막후 삼양그룹 4세 김건호 후계 구도 본격화,0
일동제약 퍼스트랩 프로바이오텍 마일드 셀 필링젤 출시 外,1
김윤 회장 지난해 보수 21억원,0
삼양그룹 동해안 산불 피해 복구 위해 2억원 기부,-1
휴비스 김건호 사내이사 선임 삼양그룹 4세경영 가속,0
삼양그룹 실적 롤러코스터 우려 커지는 이유,-1
