title,label
동화약품 코로나19 치료 후보물질 정부과제 선정,1
실적점검 동화약품 21 4Q 영업이익 65억원 PER 21 3배,1
동화약품 코로나 치료 후보물질 DW2008S 정부 연구비 지원,1
한독 보령제약 대원제약 삼일제약 동화약품 오너 3세 경영권 승계 주목,1
동화약품 심플렉스와 AI 기반 면역질환 치료제 개발 협력,1
동화약품 AI 신약개발 벤처와 면역질환 치료제 연구 맞손,1
동화약품 주가 6%↑ 코로나 치료제 정부 과제 선정,1
2022 주총 이슈 전망 동화약품 동아ST 전 사장 영입 눈길 윤도준 회장 꼼,1
제약 동화약품 주름 탄력 보습 피부 고민 이제 그만,1
4세 경영 동화약품 체질개선 나서나 AI접목 신사업 강화,1
엘브이엠씨 계열사 케이알모터스 주식 97억원에 추가취득,1
ENVEX 2019 영상 케이알모터스 오는 10월 양산 예정인 국내 최초 Bobber 스,1
더벨 매각 타진 KR모터스 오세영 회장 의중 안갯속,1
실적속보 잠정 KR모터스 연결 2020 1Q 영업이익 3 86억원,1
실적속보 KR모터스 연결 2019 2Q 영업이익 21 92억원,1
KR모터스 신규 이사 후보 업계 전문가 영입 경영개선 신호탄,1
KR모터스 업계 전문가 영입 경영개선 신호탄,1
KR모터스 오세영 회장 신규이사선임 책임경영 강화,1
아우디 폭스바겐 등 수입사 리콜 실시 총 21개 차종 4 789대,1
기업공시 10월 16일 에스티팜 글로벌제약사와 566억 규모 증설 지원 및 수수,1
젊음의 행진 경륜 세대교체 이끄는 북광주팀,1
TF경륜 북광주팀 26기 삼총사 이태운 전경호 김다빈 광주권 생명수,1
경방 타임스퀘어 화이트데이 선물 프로모션 진행,1
경방 타임스퀘어 화이트데이 프로모션 진행,1
장예찬 이재명 장남 무경력 취업 주 경방 초고속 승인 대가,1
경방 주당 125원 현금배당 결정,1
국힘 李 장남 누구 추천으로 입사했나 이재명 가짜뉴스,1
타임스퀘어 봄맞이 패션잡화 제안전 진행 최대 70% 할인,1
한국임업진흥원 경방신약 주 임산물 시장 확대 업무협약 체결,1
李 지사 시절 장남 취업한 회사 모기업에 인허가 특혜 불법 채용 의혹,1
메리츠화재 1000억 규모 자사주 취득 신탁계약 체결,1
신입 인턴 채용정보 메리츠화재해상보험 이랜드월드 인천항만공사 등,1
메리츠화재해상보험 9100억원의 연결영업이익 발표 전년대비 49 3% ↑,1
국내 최초 보험사 100년 기업 메리츠화재 빅테크와 협력 통할지 관심사,1
남동구 메리츠화재해상보험 2022년 걱정해결사업 추진 업무협약,1
메리츠화재 지난해 영업익 9076억 전년비 49 3% ↑,1
메리츠화재 주당 620원 현금배당 결정,1
더벨 보험경영분석 메리츠화재 금리 오르자 대출영업 짭짤하네,1
메리츠화재 3분기 영업익 2421억 전년비 57 7% ↑,1
강릉시 메리츠화재해상보험 주식회사와 2022년 걱정해결사업 추진,1
김윤 삼양홀딩스 회장 지난해 보수 21억원,1
실적점검 삼양홀딩스 21 4Q 영업이익 311억원 PER 3배,1
삼양그룹 동해안 산불 피해 복구에 2억원 기부,1
삼양홀딩스 미용 필러 라풀렌 수출 채비,1
삼양그룹 동해안 산불 피해 복구 동참,1
라이센스 식음료 PICK 삼양그룹 오뚜기 CJ제일제당 外,1
난공불락 항암제 시장 국내 개발 제네릭 속속 침투,1
수급과 가치 삼양홀딩스 52주 최저가 기록 PER 2 8배,1
삼양홀딩스 바이오팜그룹 항암제 아자시티딘주 일본 품목허가 획득,1
삼양홀딩스 바이오팜그룹 아자시티딘주 日 허가,1
